html_url;howfairis_repository;howfairis_license;howfairis_registry;howfairis_citation;howfairis_checklist;fairscore;organisation;dlr_soft_class;project;quick_start_guide;readme_content;help_commands;test_folder;requirements_explicit;continuous_integration;ci_tool;add_lint_rule;add_test_rule;language;type;researchGroup;comment_percentage;comment_category;
https://github.com/Open-Systems-Pharmacology/Rifampicin-Digoxin-DDI;TRUE;FALSE;FALSE;FALSE;FALSE;;startup;0;;FALSE;TRUE;FALSE;FALSE;;;;;;;org;open_systems_pharmacology;;;
https://github.com/Open-Systems-Pharmacology/Rifampicin-Midazolam-DDI;TRUE;FALSE;FALSE;FALSE;FALSE;;startup;0;;FALSE;TRUE;FALSE;FALSE;;;;;;;org;open_systems_pharmacology;;;
https://github.com/Open-Systems-Pharmacology/Clarithromycin-Digoxin-DDI;TRUE;FALSE;FALSE;FALSE;FALSE;;startup;0;;FALSE;TRUE;FALSE;FALSE;;;;;;;org;open_systems_pharmacology;;;
https://github.com/Open-Systems-Pharmacology/Hormonal-Contraceptive-Agents-Datasets;TRUE;FALSE;FALSE;FALSE;FALSE;;startup;0;;FALSE;TRUE;FALSE;FALSE;;;;;;;org;open_systems_pharmacology;;;
https://github.com/Open-Systems-Pharmacology/OSPSuite.SimModel.Solver.CVODES;TRUE;TRUE;FALSE;FALSE;FALSE;;startup;0;;FALSE;TRUE;FALSE;TRUE;;;;;;C;org;open_systems_pharmacology;;;
https://github.com/Open-Systems-Pharmacology/QualificationRunner;TRUE;TRUE;FALSE;FALSE;FALSE;;startup;0;;FALSE;TRUE;FALSE;FALSE;;;;;;C#;org;open_systems_pharmacology;;;
https://github.com/Open-Systems-Pharmacology/Fluvoxamine-Model;TRUE;FALSE;FALSE;FALSE;FALSE;;startup;0;;FALSE;TRUE;FALSE;FALSE;;;;;;MATLAB;org;open_systems_pharmacology;;;
https://github.com/Open-Systems-Pharmacology/Fluvoxamine-Theophylline-DDI;TRUE;FALSE;FALSE;FALSE;FALSE;;startup;0;;FALSE;TRUE;FALSE;FALSE;;;;;;;org;open_systems_pharmacology;;;
https://github.com/Open-Systems-Pharmacology/Rifampicin-Theophylline-DDI;TRUE;FALSE;FALSE;FALSE;FALSE;;startup;0;;FALSE;TRUE;FALSE;FALSE;;;;;;;org;open_systems_pharmacology;;;
https://github.com/Open-Systems-Pharmacology/Fluvoxamine-Caffeine-DDI;TRUE;FALSE;FALSE;FALSE;FALSE;;startup;0;;FALSE;TRUE;FALSE;FALSE;;;;;;;org;open_systems_pharmacology;;;
https://github.com/Open-Systems-Pharmacology/Fluvoxamine-Midazolam-DDI;TRUE;FALSE;FALSE;FALSE;FALSE;;startup;0;;FALSE;TRUE;FALSE;FALSE;;;;;;;org;open_systems_pharmacology;;;
https://github.com/Open-Systems-Pharmacology/Theophylline-Model;TRUE;FALSE;FALSE;FALSE;FALSE;;startup;0;;FALSE;TRUE;FALSE;FALSE;;;;;;;org;open_systems_pharmacology;;;
https://github.com/Open-Systems-Pharmacology/Triazolam-Model;TRUE;FALSE;FALSE;FALSE;FALSE;;startup;0;;FALSE;TRUE;FALSE;FALSE;;;;;;MATLAB;org;open_systems_pharmacology;;;
https://github.com/Open-Systems-Pharmacology/Alprazolam-Model;TRUE;FALSE;FALSE;FALSE;FALSE;;startup;0;;FALSE;TRUE;FALSE;FALSE;;;;;;MATLAB;org;open_systems_pharmacology;;;
https://github.com/Open-Systems-Pharmacology/IFN-alpha;TRUE;FALSE;FALSE;FALSE;FALSE;;startup;0;;FALSE;TRUE;FALSE;FALSE;;;;;;;org;open_systems_pharmacology;;;
https://github.com/Open-Systems-Pharmacology/markdown-joiner;TRUE;TRUE;FALSE;FALSE;FALSE;;startup;0;;TRUE;TRUE;TRUE;FALSE;;;;;;JavaScript;org;open_systems_pharmacology;;;
https://github.com/Open-Systems-Pharmacology/Qualification-text-modules;TRUE;FALSE;FALSE;FALSE;FALSE;;startup;0;;FALSE;TRUE;FALSE;FALSE;;;;;;;org;open_systems_pharmacology;;;
