html_url;howfairis_repository;howfairis_license;howfairis_registry;howfairis_citation;howfairis_checklist;fair_score;organisation;dlr_soft_class;project;quick_start_guide;readme_content;help_commands;test_folder;requirements_explicit;continuous_integration;ci_tool;add_lint_rule;add_test_rule;language;repo_type;research_group;comment_category
https://github.com/harmening/pyhemo;TRUE;TRUE;FALSE;FALSE;FALSE;2;leibniz;0;research;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;;;;Python;user;;none
https://github.com/harmening/pyreite;TRUE;FALSE;FALSE;FALSE;FALSE;1;leibniz;1;research;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;github_actions;FALSE;TRUE;Python;user;;none
https://github.com/hosilva/mplstyle;TRUE;TRUE;FALSE;FALSE;FALSE;2;leibniz;0;research;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;Python;user;;none
https://github.com/jochenklar/chemotion-formats;TRUE;FALSE;FALSE;FALSE;FALSE;1;leibniz;0;research;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;Python;user;;some
https://github.com/jochenklar/isimip-scripts;TRUE;TRUE;FALSE;FALSE;FALSE;2;leibniz;0;research;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;Python;user;;none
https://github.com/jochenklar/meps;TRUE;TRUE;FALSE;FALSE;FALSE;2;leibniz;0;research;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;;;;Python;user;;none
https://github.com/jochenklar/quantify;TRUE;TRUE;FALSE;FALSE;FALSE;2;leibniz;0;research;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;Python;user;;none
https://github.com/jochenklar/reader2;TRUE;TRUE;FALSE;FALSE;FALSE;2;leibniz;0;research;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;Python;user;;none
https://github.com/kristinriebe/blendertools;TRUE;FALSE;FALSE;FALSE;FALSE;1;leibniz;1;research;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;Python;user;;more
https://github.com/kristinriebe/DensityIngest;TRUE;TRUE;FALSE;FALSE;FALSE;2;leibniz;0;research;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;;;;C++;user;;most
https://github.com/kristinriebe/FofIngest;TRUE;TRUE;FALSE;FALSE;FALSE;2;leibniz;0;research;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;;;;C++;user;;most
https://github.com/kristinriebe/GalacticusIngest;TRUE;TRUE;FALSE;FALSE;FALSE;2;leibniz;0;research;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;;;;C++;user;;most
https://github.com/kristinriebe/PmssIngest;TRUE;TRUE;FALSE;FALSE;FALSE;2;leibniz;0;research;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;;;;C++;user;;most
https://github.com/kristinriebe/SageIngest;TRUE;TRUE;FALSE;FALSE;FALSE;2;leibniz;0;research;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;;;;C++;user;;most
https://github.com/kristinriebe/SagIngest;TRUE;TRUE;FALSE;FALSE;FALSE;2;leibniz;0;research;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;;;;C++;user;;most
https://github.com/kristinriebe/uws-validator;TRUE;TRUE;TRUE;FALSE;FALSE;3;leibniz;1;research;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;;;;Python;user;;some
https://github.com/lenas95/Projekt_B;TRUE;FALSE;FALSE;FALSE;FALSE;1;leibniz;0;research;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;R;user;;none
https://github.com/lenas95/SEWS_Amazon_rainforest;TRUE;FALSE;FALSE;FALSE;FALSE;1;leibniz;0;research;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;Python;user;;none
https://github.com/mjziebarth/ACOSA;TRUE;TRUE;FALSE;FALSE;FALSE;2;leibniz;0;research;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;C++;user;;most
https://github.com/mjziebarth/acplotoo;TRUE;TRUE;FALSE;FALSE;FALSE;2;leibniz;0;research;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;Python;user;;most
https://github.com/mjziebarth/FlotteKarte;TRUE;TRUE;FALSE;FALSE;FALSE;2;leibniz;0;research;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;github_actions;FALSE;FALSE;C++;user;;most
https://github.com/mjziebarth/InterpolateStress;TRUE;TRUE;FALSE;FALSE;FALSE;2;leibniz;0;research;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;C++;user;;most
https://github.com/mjziebarth/pybalonor;TRUE;TRUE;FALSE;FALSE;FALSE;2;leibniz;0;research;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;github_actions;TRUE;TRUE;C++;user;;most
https://github.com/olebole/i386-test;TRUE;TRUE;FALSE;FALSE;FALSE;2;leibniz;0;research;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;github_actions;FALSE;TRUE;Python;user;;none
https://github.com/olebole/python-cpl;TRUE;TRUE;TRUE;FALSE;FALSE;3;leibniz;1;research;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;travis;FALSE;FALSE;Python;user;;none
https://github.com/SimonPfeifer/cows;TRUE;TRUE;TRUE;FALSE;FALSE;3;leibniz;1;research;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;;;;Python;user;;more
https://github.com/SimonPfeifer/Ecosystem;TRUE;FALSE;FALSE;FALSE;FALSE;1;leibniz;0;research;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;Python;user;;none
https://github.com/SimonPfeifer/PyBrego;TRUE;TRUE;FALSE;FALSE;FALSE;2;leibniz;0;research;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;Python;user;;some
https://github.com/SimonPfeifer/WLmap;TRUE;TRUE;FALSE;FALSE;FALSE;2;leibniz;0;research;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;Python;user;;none
https://github.com/wbarfuss/CognitiveLevels;TRUE;TRUE;FALSE;TRUE;FALSE;3;leibniz;1;research;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;Python;user;;most
https://github.com/wbarfuss/cyexploit;TRUE;TRUE;FALSE;FALSE;FALSE;2;leibniz;1;research;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;;;;Python;user;;most
https://github.com/wbarfuss/eca;TRUE;TRUE;FALSE;FALSE;FALSE;2;leibniz;1;research;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;;;;Python;user;;none
https://github.com/wbarfuss/EcoPG;TRUE;TRUE;FALSE;TRUE;FALSE;3;leibniz;1;research;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;Python;user;;most
https://github.com/09tangriro/Pearl;TRUE;TRUE;FALSE;FALSE;FALSE;2;pik;2;research;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;github_actions;TRUE;TRUE;Python;user;;none
https://github.com/09tangriro/ppg;TRUE;FALSE;FALSE;FALSE;FALSE;1;pik;1;research;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;Python;user;;none
https://github.com/0UmfHxcvx5J7JoaOhFSs5mncnisTJJ6q/moinput;TRUE;TRUE;FALSE;FALSE;FALSE;2;pik;1;research;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;;;;R;user;;most
https://github.com/0xsuu/mutual-information-regulariser;TRUE;TRUE;FALSE;FALSE;FALSE;2;pik;0;research;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;Python;user;;none
https://github.com/aadeshnpn/cooperative-transport;TRUE;TRUE;FALSE;FALSE;FALSE;2;pik;0;research;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;Python;user;;more
https://github.com/aadeshnpn/knn-simple;TRUE;FALSE;FALSE;FALSE;FALSE;1;pik;0;research;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;Python;user;;most
https://github.com/aadeshnpn/LTLf2BT;TRUE;TRUE;FALSE;FALSE;FALSE;2;pik;0;research;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;Python;user;;some
https://github.com/aadeshnpn/nepali-mapper;TRUE;TRUE;FALSE;FALSE;FALSE;2;pik;0;research;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;Python;user;;most
https://github.com/aadeshnpn/PyGoal;TRUE;TRUE;FALSE;FALSE;FALSE;2;pik;0;research;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;;;;Python;user;;some
https://github.com/aadeshnpn/swarm;TRUE;TRUE;FALSE;FALSE;FALSE;2;pik;1;research;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;;;;Python;user;;more
